ID,ProvinsiID,NamaProvinsi,BudidayaID,Budidaya,Tahun,Jumlah
121,63,Kalimantan Selatan,0,semua budidaya,2005,18274
122,64,Kalimantan Timur,0,semua budidaya,2005,24176
123,71,Sulawesi Utara,0,semua budidaya,2005,24228
124,72,Sulawesi Tengah,0,semua budidaya,2005,29495
125,73,Sulawesi Selatan,0,semua budidaya,2005,153080
126,74,Sulawesi Tenggara,0,semua budidaya,2005,49245
127,75,Gorontalo,0,semua budidaya,2005,6403
128,76,Sulawesi Barat,0,semua budidaya,2005,0
129,81,Maluku,0,semua budidaya,2005,788
130,82,Maluku Utara,0,semua budidaya,2005,989
131,91,Papua Barat,0,semua budidaya,2005,42
132,94,Papua,0,semua budidaya,2005,5834
133,11,Aceh,0,semua budidaya,2006,40761
134,12,Sumatera Utara,0,semua budidaya,2006,70015
135,13,Sumatera Barat,0,semua budidaya,2006,80532
136,14,Riau,0,semua budidaya,2006,21912
137,15,Jambi,0,semua budidaya,2006,25938
138,16,Sumatera Selatan,0,semua budidaya,2006,94408
139,17,Bengkulu,0,semua budidaya,2006,16044
140,18,Lampung,0,semua budidaya,2006,47975
141,19,Kepulauan Bangka Belitung,0,semua budidaya,2006,1573
142,21,Kepulauan Riau,0,semua budidaya,2006,2446
143,31,DKI Jakarta,0,semua budidaya,2006,2818
144,32,Jawa Barat,0,semua budidaya,2006,614266
145,33,Jawa Tengah,0,semua budidaya,2006,498352
146,34,DI Yogyakarta,0,semua budidaya,2006,45568
147,35,Jawa Timur,0,semua budidaya,2006,168423
148,36,Banten,0,semua budidaya,2006,62155
149,51,Bali,0,semua budidaya,2006,26665
150,52,Nusa Tenggara Barat,0,semua budidaya,2006,24602
151,53,Nusa Tenggara Timur,0,semua budidaya,2006,52405
152,61,Kalimantan Barat,0,semua budidaya,2006,17532
153,62,Kalimantan Tengah,0,semua budidaya,2006,12639
154,63,Kalimantan Selatan,0,semua budidaya,2006,18476
155,64,Kalimantan Timur,0,semua budidaya,2006,32741
156,71,Sulawesi Utara,0,semua budidaya,2006,12872
157,72,Sulawesi Tengah,0,semua budidaya,2006,34562
158,73,Sulawesi Selatan,0,semua budidaya,2006,124674
